"V1" "V2" "V3"
"1" 4 2 1
"2" 6 3 1
"3" 8 4 1
"4" 10 5 1
"5" 12 6 1
"6" 14 7 1
"7" 16 8 1
"8" 18 9 1
"9" 20 10 1
"10" 22 11 1
"11" 24 12 1
"12" 26 13 1
"13" 28 14 1
"14" 30 15 1
"15" 32 16 1
"16" 34 17 1
"17" 36 18 1
"18" 38 19 1
"19" 40 20 1
"20" 42 21 1
"21" 44 22 1
"22" 46 23 1
"23" 48 24 1
"24" 50 25 1
"25" 52 26 1
"26" 54 27 1
"27" 56 28 1
"28" 58 29 1
"29" 60 30 1
"30" 62 31 1
"31" 64 32 1
"32" 66 33 1
"33" 68 34 1
"34" 70 35 1
"35" 72 36 1
"36" 74 37 1
"37" 76 38 1
"38" 78 39 1
"39" 80 40 1
"40" 82 41 1
"41" 84 42 1
"42" 86 43 1
"43" 88 44 1
"44" 90 45 1
"45" 92 46 1
"46" 94 47 1
"47" 96 48 1
"48" 98 49 1
"49" 6 2 1
"50" 9 3 1
"51" 12 4 1
"52" 15 5 1
"53" 18 6 1
"54" 21 7 1
"55" 24 8 1
"56" 27 9 1
"57" 30 10 1
"58" 33 11 1
"59" 36 12 1
"60" 39 13 1
"61" 42 14 1
"62" 45 15 1
"63" 48 16 1
"64" 51 17 1
"65" 54 18 1
"66" 57 19 1
"67" 60 20 1
"68" 63 21 1
"69" 66 22 1
"70" 69 23 1
"71" 72 24 1
"72" 75 25 1
"73" 78 26 1
"74" 81 27 1
"75" 84 28 1
"76" 87 29 1
"77" 90 30 1
"78" 93 31 1
"79" 96 32 1
"80" 99 33 1
"81" 8 2 1
"82" 12 3 1
"83" 16 4 1
"84" 20 5 1
"85" 24 6 1
"86" 28 7 1
"87" 32 8 1
"88" 36 9 1
"89" 40 10 1
"90" 44 11 1
"91" 48 12 1
"92" 52 13 1
"93" 56 14 1
"94" 60 15 1
"95" 64 16 1
"96" 68 17 1
"97" 72 18 1
"98" 76 19 1
"99" 80 20 1
"100" 84 21 1
"101" 88 22 1
"102" 92 23 1
"103" 96 24 1
"104" 10 2 1
"105" 15 3 1
"106" 20 4 1
"107" 25 5 1
"108" 30 6 1
"109" 35 7 1
"110" 40 8 1
"111" 45 9 1
"112" 50 10 1
"113" 55 11 1
"114" 60 12 1
"115" 65 13 1
"116" 70 14 1
"117" 75 15 1
"118" 80 16 1
"119" 85 17 1
"120" 90 18 1
"121" 95 19 1
"122" 12 2 1
"123" 18 3 1
"124" 24 4 1
"125" 30 5 1
"126" 36 6 1
"127" 42 7 1
"128" 48 8 1
"129" 54 9 1
"130" 60 10 1
"131" 66 11 1
"132" 72 12 1
"133" 78 13 1
"134" 84 14 1
"135" 90 15 1
"136" 96 16 1
"137" 14 2 1
"138" 21 3 1
"139" 28 4 1
"140" 35 5 1
"141" 42 6 1
"142" 49 7 1
"143" 56 8 1
"144" 63 9 1
"145" 70 10 1
"146" 77 11 1
"147" 84 12 1
"148" 91 13 1
"149" 98 14 1
"150" 16 2 1
"151" 24 3 1
"152" 32 4 1
"153" 40 5 1
"154" 48 6 1
"155" 56 7 1
"156" 64 8 1
"157" 72 9 1
"158" 80 10 1
"159" 88 11 1
"160" 96 12 1
"161" 18 2 1
"162" 27 3 1
"163" 36 4 1
"164" 45 5 1
"165" 54 6 1
"166" 63 7 1
"167" 72 8 1
"168" 81 9 1
"169" 90 10 1
"170" 99 11 1
"171" 20 2 1
"172" 30 3 1
"173" 40 4 1
"174" 50 5 1
"175" 60 6 1
"176" 70 7 1
"177" 80 8 1
"178" 90 9 1
"179" 22 2 1
"180" 33 3 1
"181" 44 4 1
"182" 55 5 1
"183" 66 6 1
"184" 77 7 1
"185" 88 8 1
"186" 99 9 1
"187" 24 2 1
"188" 36 3 1
"189" 48 4 1
"190" 60 5 1
"191" 72 6 1
"192" 84 7 1
"193" 96 8 1
"194" 26 2 1
"195" 39 3 1
"196" 52 4 1
"197" 65 5 1
"198" 78 6 1
"199" 91 7 1
"200" 28 2 1
"201" 42 3 1
"202" 56 4 1
"203" 70 5 1
"204" 84 6 1
"205" 98 7 1
"206" 30 2 1
"207" 45 3 1
"208" 60 4 1
"209" 75 5 1
"210" 90 6 1
"211" 32 2 1
"212" 48 3 1
"213" 64 4 1
"214" 80 5 1
"215" 96 6 1
"216" 34 2 1
"217" 51 3 1
"218" 68 4 1
"219" 85 5 1
"220" 36 2 1
"221" 54 3 1
"222" 72 4 1
"223" 90 5 1
"224" 38 2 1
"225" 57 3 1
"226" 76 4 1
"227" 95 5 1
"228" 40 2 1
"229" 60 3 1
"230" 80 4 1
"231" 42 2 1
"232" 63 3 1
"233" 84 4 1
"234" 44 2 1
"235" 66 3 1
"236" 88 4 1
"237" 46 2 1
"238" 69 3 1
"239" 92 4 1
"240" 48 2 1
"241" 72 3 1
"242" 96 4 1
"243" 50 2 1
"244" 75 3 1
"245" 52 2 1
"246" 78 3 1
"247" 54 2 1
"248" 81 3 1
"249" 56 2 1
"250" 84 3 1
"251" 58 2 1
"252" 87 3 1
"253" 60 2 1
"254" 90 3 1
"255" 62 2 1
"256" 93 3 1
"257" 64 2 1
"258" 96 3 1
"259" 66 2 1
"260" 99 3 1
"261" 68 2 1
"262" 70 2 1
"263" 72 2 1
"264" 74 2 1
"265" 76 2 1
"266" 78 2 1
"267" 80 2 1
"268" 82 2 1
"269" 84 2 1
"270" 86 2 1
"271" 88 2 1
"272" 90 2 1
"273" 92 2 1
"274" 94 2 1
"275" 96 2 1
"276" 98 2 1
