"V1" "V2" "V3" "V4"
"1" 8 4 2 1
"2" 12 6 3 1
"3" 16 8 4 1
"4" 20 10 5 1
"5" 24 12 6 1
"6" 28 14 7 1
"7" 32 16 8 1
"8" 36 18 9 1
"9" 40 20 10 1
"10" 44 22 11 1
"11" 48 24 12 1
"12" 52 26 13 1
"13" 56 28 14 1
"14" 60 30 15 1
"15" 64 32 16 1
"16" 68 34 17 1
"17" 72 36 18 1
"18" 76 38 19 1
"19" 80 40 20 1
"20" 84 42 21 1
"21" 88 44 22 1
"22" 92 46 23 1
"23" 96 48 24 1
"24" 12 6 2 1
"25" 18 9 3 1
"26" 24 12 4 1
"27" 30 15 5 1
"28" 36 18 6 1
"29" 42 21 7 1
"30" 48 24 8 1
"31" 54 27 9 1
"32" 60 30 10 1
"33" 66 33 11 1
"34" 72 36 12 1
"35" 78 39 13 1
"36" 84 42 14 1
"37" 90 45 15 1
"38" 96 48 16 1
"39" 16 8 2 1
"40" 24 12 3 1
"41" 32 16 4 1
"42" 40 20 5 1
"43" 48 24 6 1
"44" 56 28 7 1
"45" 64 32 8 1
"46" 72 36 9 1
"47" 80 40 10 1
"48" 88 44 11 1
"49" 96 48 12 1
"50" 20 10 2 1
"51" 30 15 3 1
"52" 40 20 4 1
"53" 50 25 5 1
"54" 60 30 6 1
"55" 70 35 7 1
"56" 80 40 8 1
"57" 90 45 9 1
"58" 24 12 2 1
"59" 36 18 3 1
"60" 48 24 4 1
"61" 60 30 5 1
"62" 72 36 6 1
"63" 84 42 7 1
"64" 96 48 8 1
"65" 28 14 2 1
"66" 42 21 3 1
"67" 56 28 4 1
"68" 70 35 5 1
"69" 84 42 6 1
"70" 98 49 7 1
"71" 32 16 2 1
"72" 48 24 3 1
"73" 64 32 4 1
"74" 80 40 5 1
"75" 96 48 6 1
"76" 36 18 2 1
"77" 54 27 3 1
"78" 72 36 4 1
"79" 90 45 5 1
"80" 40 20 2 1
"81" 60 30 3 1
"82" 80 40 4 1
"83" 44 22 2 1
"84" 66 33 3 1
"85" 88 44 4 1
"86" 48 24 2 1
"87" 72 36 3 1
"88" 96 48 4 1
"89" 52 26 2 1
"90" 78 39 3 1
"91" 56 28 2 1
"92" 84 42 3 1
"93" 60 30 2 1
"94" 90 45 3 1
"95" 64 32 2 1
"96" 96 48 3 1
"97" 68 34 2 1
"98" 72 36 2 1
"99" 76 38 2 1
"100" 80 40 2 1
"101" 84 42 2 1
"102" 88 44 2 1
"103" 92 46 2 1
"104" 96 48 2 1
"105" 12 4 2 1
"106" 18 6 3 1
"107" 24 8 4 1
"108" 30 10 5 1
"109" 36 12 6 1
"110" 42 14 7 1
"111" 48 16 8 1
"112" 54 18 9 1
"113" 60 20 10 1
"114" 66 22 11 1
"115" 72 24 12 1
"116" 78 26 13 1
"117" 84 28 14 1
"118" 90 30 15 1
"119" 96 32 16 1
"120" 18 6 2 1
"121" 27 9 3 1
"122" 36 12 4 1
"123" 45 15 5 1
"124" 54 18 6 1
"125" 63 21 7 1
"126" 72 24 8 1
"127" 81 27 9 1
"128" 90 30 10 1
