"V1" "V2" "V3" "V4" "V5"
"1" 16 8 4 2 1
"2" 24 12 6 3 1
"3" 32 16 8 4 1
"4" 40 20 10 5 1
"5" 48 24 12 6 1
"6" 56 28 14 7 1
"7" 64 32 16 8 1
"8" 72 36 18 9 1
"9" 80 40 20 10 1
"10" 88 44 22 11 1
"11" 96 48 24 12 1
"12" 24 12 6 2 1
"13" 36 18 9 3 1
"14" 48 24 12 4 1
"15" 60 30 15 5 1
"16" 72 36 18 6 1
"17" 84 42 21 7 1
"18" 96 48 24 8 1
"19" 32 16 8 2 1
"20" 48 24 12 3 1
"21" 64 32 16 4 1
"22" 80 40 20 5 1
"23" 96 48 24 6 1
"24" 40 20 10 2 1
"25" 60 30 15 3 1
"26" 80 40 20 4 1
"27" 48 24 12 2 1
"28" 72 36 18 3 1
"29" 96 48 24 4 1
"30" 56 28 14 2 1
"31" 84 42 21 3 1
"32" 64 32 16 2 1
"33" 96 48 24 3 1
"34" 72 36 18 2 1
"35" 80 40 20 2 1
"36" 88 44 22 2 1
"37" 96 48 24 2 1
"38" 24 12 4 2 1
"39" 36 18 6 3 1
"40" 48 24 8 4 1
"41" 60 30 10 5 1
"42" 72 36 12 6 1
"43" 84 42 14 7 1
"44" 96 48 16 8 1
"45" 36 18 6 2 1
"46" 54 27 9 3 1
"47" 72 36 12 4 1
"48" 90 45 15 5 1
"49" 48 24 8 2 1
"50" 72 36 12 3 1
"51" 96 48 16 4 1
"52" 60 30 10 2 1
"53" 90 45 15 3 1
"54" 72 36 12 2 1
"55" 84 42 14 2 1
"56" 96 48 16 2 1
"57" 32 16 4 2 1
"58" 48 24 6 3 1
"59" 64 32 8 4 1
"60" 80 40 10 5 1
"61" 96 48 12 6 1
"62" 48 24 6 2 1
"63" 72 36 9 3 1
"64" 96 48 12 4 1
"65" 64 32 8 2 1
"66" 96 48 12 3 1
"67" 80 40 10 2 1
"68" 96 48 12 2 1
"69" 40 20 4 2 1
"70" 60 30 6 3 1
"71" 80 40 8 4 1
"72" 60 30 6 2 1
"73" 90 45 9 3 1
"74" 80 40 8 2 1
"75" 48 24 4 2 1
"76" 72 36 6 3 1
"77" 96 48 8 4 1
"78" 72 36 6 2 1
"79" 96 48 8 2 1
"80" 56 28 4 2 1
"81" 84 42 6 3 1
"82" 84 42 6 2 1
"83" 64 32 4 2 1
"84" 96 48 6 3 1
"85" 96 48 6 2 1
"86" 72 36 4 2 1
"87" 80 40 4 2 1
"88" 88 44 4 2 1
"89" 96 48 4 2 1
"90" 24 8 4 2 1
"91" 36 12 6 3 1
"92" 48 16 8 4 1
"93" 60 20 10 5 1
"94" 72 24 12 6 1
"95" 84 28 14 7 1
"96" 96 32 16 8 1
"97" 36 12 6 2 1
"98" 54 18 9 3 1
"99" 72 24 12 4 1
"100" 90 30 15 5 1
"101" 48 16 8 2 1
"102" 72 24 12 3 1
"103" 96 32 16 4 1
"104" 60 20 10 2 1
"105" 90 30 15 3 1
"106" 72 24 12 2 1
"107" 84 28 14 2 1
"108" 96 32 16 2 1
"109" 36 12 4 2 1
"110" 54 18 6 3 1
"111" 72 24 8 4 1
"112" 90 30 10 5 1
"113" 54 18 6 2 1
"114" 81 27 9 3 1
"115" 72 24 8 2 1
"116" 90 30 10 2 1
"117" 48 16 4 2 1
"118" 72 24 6 3 1
"119" 96 32 8 4 1
"120" 72 24 6 2 1
"121" 96 32 8 2 1
"122" 60 20 4 2 1
"123" 90 30 6 3 1
"124" 90 30 6 2 1
"125" 72 24 4 2 1
"126" 84 28 4 2 1
"127" 96 32 4 2 1
"128" 32 8 4 2 1
"129" 48 12 6 3 1
"130" 64 16 8 4 1
"131" 80 20 10 5 1
"132" 96 24 12 6 1
"133" 48 12 6 2 1
"134" 72 18 9 3 1
"135" 96 24 12 4 1
"136" 64 16 8 2 1
"137" 96 24 12 3 1
"138" 80 20 10 2 1
"139" 96 24 12 2 1
"140" 48 12 4 2 1
"141" 72 18 6 3 1
"142" 96 24 8 4 1
"143" 72 18 6 2 1
"144" 96 24 8 2 1
"145" 64 16 4 2 1
"146" 96 24 6 3 1
"147" 96 24 6 2 1
"148" 80 20 4 2 1
"149" 96 24 4 2 1
"150" 40 8 4 2 1
"151" 60 12 6 3 1
"152" 80 16 8 4 1
"153" 60 12 6 2 1
"154" 90 18 9 3 1
"155" 80 16 8 2 1
"156" 60 12 4 2 1
"157" 90 18 6 3 1
"158" 90 18 6 2 1
"159" 80 16 4 2 1
"160" 48 8 4 2 1
"161" 72 12 6 3 1
"162" 96 16 8 4 1
"163" 72 12 6 2 1
"164" 96 16 8 2 1
"165" 72 12 4 2 1
"166" 96 16 4 2 1
"167" 56 8 4 2 1
"168" 84 12 6 3 1
"169" 84 12 6 2 1
"170" 84 12 4 2 1
"171" 64 8 4 2 1
"172" 96 12 6 3 1
"173" 96 12 6 2 1
"174" 96 12 4 2 1
"175" 72 8 4 2 1
"176" 80 8 4 2 1
"177" 88 8 4 2 1
"178" 96 8 4 2 1
