"V1" "V2" "V3" "V4" "V5" "V6"
"1" 32 16 8 4 2 1
"2" 48 24 12 6 3 1
"3" 64 32 16 8 4 1
"4" 80 40 20 10 5 1
"5" 96 48 24 12 6 1
"6" 48 24 12 6 2 1
"7" 72 36 18 9 3 1
"8" 96 48 24 12 4 1
"9" 64 32 16 8 2 1
"10" 96 48 24 12 3 1
"11" 80 40 20 10 2 1
"12" 96 48 24 12 2 1
"13" 48 24 12 4 2 1
"14" 72 36 18 6 3 1
"15" 96 48 24 8 4 1
"16" 72 36 18 6 2 1
"17" 96 48 24 8 2 1
"18" 64 32 16 4 2 1
"19" 96 48 24 6 3 1
"20" 96 48 24 6 2 1
"21" 80 40 20 4 2 1
"22" 96 48 24 4 2 1
"23" 48 24 8 4 2 1
"24" 72 36 12 6 3 1
"25" 96 48 16 8 4 1
"26" 72 36 12 6 2 1
"27" 96 48 16 8 2 1
"28" 72 36 12 4 2 1
"29" 96 48 16 4 2 1
"30" 64 32 8 4 2 1
"31" 96 48 12 6 3 1
"32" 96 48 12 6 2 1
"33" 96 48 12 4 2 1
"34" 80 40 8 4 2 1
"35" 96 48 8 4 2 1
"36" 48 16 8 4 2 1
"37" 72 24 12 6 3 1
"38" 96 32 16 8 4 1
"39" 72 24 12 6 2 1
"40" 96 32 16 8 2 1
"41" 72 24 12 4 2 1
"42" 96 32 16 4 2 1
"43" 72 24 8 4 2 1
"44" 96 32 8 4 2 1
"45" 64 16 8 4 2 1
"46" 96 24 12 6 3 1
"47" 96 24 12 6 2 1
"48" 96 24 12 4 2 1
"49" 96 24 8 4 2 1
"50" 80 16 8 4 2 1
"51" 96 16 8 4 2 1
